2025-01-23 22:42:58 status unpacked libyaml-0-2:amd64 0.2.5-1
2025-01-23 22:42:58 status half-configured libyaml-0-2:amd64 0.2.5-1
2025-01-23 22:42:58 status installed libyaml-0-2:amd64 0.2.5-1
2025-01-23 22:42:58 configure python3-charset-normalizer:all 3.0.1-2 <none>
2025-01-23 22:42:58 status unpacked python3-charset-normalizer:all 3.0.1-2
2025-01-23 22:42:58 status half-configured python3-charset-normalizer:all 3.0.1-2
2025-01-23 22:42:58 status installed python3-charset-normalizer:all 3.0.1-2
2025-01-23 22:42:58 configure python3-yaml:amd64 6.0-3+b2 <none>
2025-01-23 22:42:58 status unpacked python3-yaml:amd64 6.0-3+b2
2025-01-23 22:42:58 status half-configured python3-yaml:amd64 6.0-3+b2
2025-01-23 22:42:58 status installed python3-yaml:amd64 6.0-3+b2
2025-01-23 22:42:58 configure libc-ares2:amd64 1.18.1-3 <none>
2025-01-23 22:42:58 status unpacked libc-ares2:amd64 1.18.1-3
2025-01-23 22:42:58 status half-configured libc-ares2:amd64 1.18.1-3
2025-01-23 22:42:58 status installed libc-ares2:amd64 1.18.1-3
2025-01-23 22:42:58 configure python3-multidict:amd64 6.0.4-1+b1 <none>
2025-01-23 22:42:58 status unpacked python3-multidict:amd64 6.0.4-1+b1
2025-01-23 22:42:58 status half-configured python3-multidict:amd64 6.0.4-1+b1
2025-01-23 22:42:59 status installed python3-multidict:amd64 6.0.4-1+b1
2025-01-23 22:42:59 configure python3-frozenlist:amd64 1.3.3-1+b1 <none>
2025-01-23 22:42:59 status unpacked python3-frozenlist:amd64 1.3.3-1+b1
2025-01-23 22:42:59 status half-configured python3-frozenlist:amd64 1.3.3-1+b1
2025-01-23 22:42:59 status installed python3-frozenlist:amd64 1.3.3-1+b1
2025-01-23 22:42:59 configure python3-aiosignal:all 1.3.1-1 <none>
2025-01-23 22:42:59 status unpacked python3-aiosignal:all 1.3.1-1
2025-01-23 22:42:59 status half-configured python3-aiosignal:all 1.3.1-1
2025-01-23 22:42:59 status installed python3-aiosignal:all 1.3.1-1
2025-01-23 22:42:59 configure python3-async-timeout:all 4.0.2-1 <none>
2025-01-23 22:42:59 status unpacked python3-async-timeout:all 4.0.2-1
2025-01-23 22:42:59 status half-configured python3-async-timeout:all 4.0.2-1
2025-01-23 22:42:59 status installed python3-async-timeout:all 4.0.2-1
2025-01-23 22:42:59 configure python3-six:all 1.16.0-4 <none>
2025-01-23 22:42:59 status unpacked python3-six:all 1.16.0-4
2025-01-23 22:42:59 status half-configured python3-six:all 1.16.0-4
2025-01-23 22:42:59 status installed python3-six:all 1.16.0-4
2025-01-23 22:42:59 configure python3-packaging:all 23.0-1 <none>
2025-01-23 22:42:59 status unpacked python3-packaging:all 23.0-1
2025-01-23 22:42:59 status half-configured python3-packaging:all 23.0-1
2025-01-23 22:42:59 status installed python3-packaging:all 23.0-1
2025-01-23 22:42:59 configure python3-hiredis:amd64 1.0.1-2+b3 <none>
2025-01-23 22:42:59 status unpacked python3-hiredis:amd64 1.0.1-2+b3
2025-01-23 22:42:59 status half-configured python3-hiredis:amd64 1.0.1-2+b3
2025-01-23 22:42:59 status installed python3-hiredis:amd64 1.0.1-2+b3
2025-01-23 22:42:59 configure libuv1:amd64 1.44.2-1+deb12u1 <none>
2025-01-23 22:42:59 status unpacked libuv1:amd64 1.44.2-1+deb12u1
2025-01-23 22:42:59 status half-configured libuv1:amd64 1.44.2-1+deb12u1
2025-01-23 22:42:59 status installed libuv1:amd64 1.44.2-1+deb12u1
2025-01-23 22:42:59 configure libwrap0:amd64 7.6.q-32 <none>
2025-01-23 22:42:59 status unpacked libwrap0:amd64 7.6.q-32
2025-01-23 22:42:59 status half-configured libwrap0:amd64 7.6.q-32
2025-01-23 22:42:59 status installed libwrap0:amd64 7.6.q-32
2025-01-23 22:42:59 configure python3-aioredis:all 1.3.1-2 <none>
2025-01-23 22:42:59 status unpacked python3-aioredis:all 1.3.1-2
2025-01-23 22:42:59 status half-configured python3-aioredis:all 1.3.1-2
2025-01-23 22:42:59 status installed python3-aioredis:all 1.3.1-2
2025-01-23 22:42:59 configure libproc2-0:amd64 2:4.0.2-3 <none>
2025-01-23 22:42:59 status unpacked libproc2-0:amd64 2:4.0.2-3
2025-01-23 22:42:59 status half-configured libproc2-0:amd64 2:4.0.2-3
2025-01-23 22:42:59 status installed libproc2-0:amd64 2:4.0.2-3
2025-01-23 22:42:59 configure python3-idna:all 3.3-1+deb12u1 <none>
2025-01-23 22:42:59 status unpacked python3-idna:all 3.3-1+deb12u1
2025-01-23 22:42:59 status half-configured python3-idna:all 3.3-1+deb12u1
2025-01-23 22:43:00 status installed python3-idna:all 3.3-1+deb12u1
2025-01-23 22:43:00 configure python3-wrapt:amd64 1.14.1-2+b2 <none>
2025-01-23 22:43:00 status unpacked python3-wrapt:amd64 1.14.1-2+b2
2025-01-23 22:43:00 status half-configured python3-wrapt:amd64 1.14.1-2+b2
2025-01-23 22:43:00 status installed python3-wrapt:amd64 1.14.1-2+b2
2025-01-23 22:43:00 configure python3-typing-extensions:all 4.4.0-1 <none>
2025-01-23 22:43:00 status unpacked python3-typing-extensions:all 4.4.0-1
2025-01-23 22:43:00 status half-configured python3-typing-extensions:all 4.4.0-1
2025-01-23 22:43:00 status installed python3-typing-extensions:all 4.4.0-1
2025-01-23 22:43:00 configure python3-uvloop:amd64 0.17.0+ds1-2+b2 <none>
2025-01-23 22:43:00 status unpacked python3-uvloop:amd64 0.17.0+ds1-2+b2
2025-01-23 22:43:00 status half-configured python3-uvloop:amd64 0.17.0+ds1-2+b2
2025-01-23 22:43:00 status installed python3-uvloop:amd64 0.17.0+ds1-2+b2
2025-01-23 22:43:00 configure procmail:amd64 3.22-27 <none>
2025-01-23 22:43:00 status unpacked procmail:amd64 3.22-27
2025-01-23 22:43:00 status half-configured procmail:amd64 3.22-27
